Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Science,BSc,86.7,83.3,70.8,No,No,Placed
Science,BSc,86.6,73,59,Yes,No,Not Placed
Science,BSc,86.56,75.66,60.15,No,Yes,Placed
Science,BSc,86.33,82.83,68.16,No,Yes,Placed
Science,BSc,86.33,83,70,No,Yes,Placed
Science,BSc,86,60,58.6,Yes,No,Not Placed
Arts,BA,86,63,60,No,No,Placed
Professional,BSW,86,68,65,No,No,Not Placed
Commerce,BCom,86,77,60,No,No,Placed
Science,BSc,86,78,60,Yes,Yes,Not Placed
Commerce,BCom,86,78,60,Yes,No,Not Placed
Commerce,BCom,86,78,58,Yes,No,Not Placed
Arts,BA,86,83,69,No,Yes,Placed
Commerce,BCom,86,83,64.25,No,No,Placed
Arts,BA,86,83,72,No,No,Placed
Commerce,BCom,86,84,65,No,No,Placed
Commerce,BBA,86,85,60,No,Yes,Placed
Commerce,BBA,86,85,69,No,Yes,Placed
Commerce,BBA,86,85,68,No,Yes,Placed
Commerce,BBA,86,85,60,No,No,Not Placed
Commerce,BCom,86,85.5,80.92,No,No,Placed
Commerce,BCom,86,85.5,79.05,Yes,No,Not Placed
Commerce,BCom,86,90,65,No,Yes,Not Placed
Arts,BA,86,95,75,Yes,No,Not Placed
Commerce,BCom,85.96,80.5,70,Yes,No,Not Placed
Science,BSc,85.92,57.6,60.3,No,No,Not Placed
Science,BSc,85.76,85.6,71.1,No,Yes,Placed
Science,BSc,85.7,85.6,71.1,No,Yes,Placed
Science,BSc,85.67,78.167,69.4,No,Yes,Placed
Science,BSc,85.6,84.33,71.69,No,No,Placed
Science,BSc,85.6,84.33,71.33,Yes,No,Not Placed
Science,BSc,85.5,69.4,75,No,No,Placed
Science,BSc,85.5,69.4,58.38,No,No,Not Placed
Science,BSc,85.5,73,69,No,Yes,Placed
Science,BSc,85.5,73,69,No,No,Placed
Commerce,BCom,85.5,76,56.22,No,Yes,Placed
Science,BSc,85.5,77.4,64.35,No,No,Placed
Science,BSc,85.5,78.8,72.86,No,No,Placed
Commerce,BBA,85.5,85,66,Yes,No,Not Placed
Science,BCA,85.5,86.25,67.5,No,Yes,Placed
Commerce,BBA,85.4,87.4,67.44,No,Yes,Placed
Commerce,BBA,85.4,87.4,67.44,Yes,Yes,Not Placed
Science,BSc,85.3,81.5,65.07,No,No,Placed
Commerce,BBA,85.3,88.2,69,No,Yes,Placed
Science,BSc,85.12,74.33333,69.23,Yes,No,Not Placed
Science,BCA,85,64,56,Yes,Yes,Not Placed
Arts,BA,85,70.8,72.53,No,Yes,Placed
Professional,BVoc,85,71,85,Yes,No,Not Placed
