Stream,Current Degree,10th%,12th%,UG%,Backlog, Work Experience ,Placement Status
Commerce,BCom,74.17,75.17,66,No,Yes,Placed
Science,BCA,74.16,90.66,79.83,Yes,Yes,Not Placed
Commerce,BCom,74.1,82.2,75,No,No,Placed
Science,BCA,74.1,90.5,79.8,No,No,Placed
Arts,BA,74,55,60,No,No,Not Placed
Commerce,BBA,74,57,59.8,No,No,Not Placed
Arts,BA,74,59,70,Yes,No,Not Placed
Professional,BVoc,74,65,65,No,No,Placed
Professional,BVoc,74,65,60,Yes,Yes,Not Placed
Commerce,BBA,74,67.8,55.6,Yes,No,Not Placed
Science,BCA,74,69,61,Yes,Yes,Not Placed
Arts,BA,74,71,62.75,No,Yes,Placed
Commerce,BCom,74,75.6,66,No,No,Placed
Commerce,BCom,74,76,60,No,No,Not Placed
